name,unit,1f36d67b654104d81ca85a6c7dfb33c2a0727457
memory_allocated_in_heap,MiB,247918
memory_copied_during_GC,MiB,37556
maximum_residency,MiB,750
memory_maximum_slop,KiB,4374
total_memory_in_use,MiB,1790
Total,s,134.65
Synthetic.Categories.SpineLifting,s,19.53
Core.FibredJoin,s,8.48
Core.Arrows,s,5.42
Foundations.CanonicalSequentialLimits,s,5.06
Synthetic.Categories.Homotopy,s,5.02
Core.OrthogonalClosure,s,4.26
Synthetic.Categories.Precategories,s,3.83
Synthetic.Categories.Spaces,s,3.73
Core.CanonicalPushouts,s,3.56
Core.Joins,s,2.81
Core.CanonicalSequentialColimits,s,2.5
Synthetic.Categories.ContravariantHomFamilies,s,2.34
Synthetic.Categories.LeftSegal,s,2.33
Synthetic.Categories.CoComma,s,2.31
Core.SpanMaps,s,2.18
Synthetic.Categories.CovariantHomFamily,s,2.06
Core.Coequalisers,s,2.05
Foundations.IdempotentMaps,s,2.02
Core.CartesianStraightening,s,1.79
Synthetic.Categories.Comma,s,1.7
Core.Cube,s,1.57
Modalities.GlobalReflectiveSubuniverses,s,1.51
Synthetic.Tiny,s,1.45
Synthetic.Categories.JoinSlice,s,1.4
Core.SeqMapHomotopy,s,1.38
Core.ArrowRetracts,s,1.26
Core.FunctorialityPullbacks,s,1.2
Core.CosliceOrthogonality,s,1.19
Core.PushoutEquiv,s,1.14
Core.FunctorialityPushouts,s,1.12
Ergonomics.PushoutUniv,s,1.06
Core.CocartesianSquares,s,1.04
Modalities.Instances.Truncation,s,1.03
Miscellaneous,s,1.02
Modalities.Subuniverses,s,0.9
Modalities.ConnectedMaps,s,0.8
Algebra.Lattice,s,0.74
Algebra.Lattice.Instances.Polynomial,s,0.72
Synthetic.Categories.CovariantFamilies,s,0.71
Core.ArrowEquiv,s,0.7
Algebra.Lattice.Instances.Quotient,s,0.7
Foundations.Equivalences,s,0.68
Core.PullbackPowers,s,0.67
Synthetic.Hom,s,0.63
Core.PushoutSums,s,0.57
Foundations.Homotopy,s,0.56
Modalities.Instances.Localisation,s,0.56
Modalities.SeparatedTypes,s,0.56
Algebra.Lattice.Instances.Prop,s,0.52
Synthetic.Horns,s,0.52
Core.WedgeSums,s,0.52
Synthetic.Categories.FullyFaithfulMaps,s,0.51
Synthetic.Categories.StrictificationComposition,s,0.5
Core.FlatteningPushouts,s,0.49
Synthetic.Simplicial,s,0.48
Foundations.PullbackIdentity,s,0.47
Core.UniversalFibrations,s,0.45
Synthetic.Categories.Groupoids,s,0.45
Core.Orthogonal,s,0.44
Modalities.Instances.Nullification,s,0.43
Foundations.SigmaProperties,s,0.41
Ergonomics.Extensionality,s,0.41
Synthetic.Categories.PushoutJoins,s,0.4
Core.FlatteningSequentialColimits,s,0.4
Core.FlatteningCoequalisers,s,0.39
Foundations.CanonicalPullbacks,s,0.37
Synthetic.Categories.CovariantClosure,s,0.37
Core.LeibnizAdjunction,s,0.36
Foundations.CompositionEquiv,s,0.35
Modalities.Cohesion.Sharp,s,0.34
Synthetic.Categories.RightSegal,s,0.34
Synthetic.Boundaries,s,0.34
Synthetic.Categories.ContravariantFamilies,s,0.34
Core.SetQuotients,s,0.34
Foundations.Squares,s,0.32
Modalities.HigherModalities,s,0.32
Synthetic.Disjunctive,s,0.3
Foundations.FunExt,s,0.3
Foundations.Embeddings,s,0.29
Synthetic.Categories.Yoneda,s,0.28
Foundations.Reasoning,s,0.27
Synthetic.Categories.UniversalElements,s,0.27
Core.Codiagonals,s,0.26
Modalities.ModalEquivalences,s,0.26
Axioms.CanonicalPushouts,s,0.25
Core.Small,s,0.24
Modalities.Lex,s,0.24
Foundations.TotalEquiv,s,0.23
Axioms.FreeAlgebraicInjectives,s,0.23
Foundations.NullHomotopy,s,0.22
Foundations.Functions,s,0.22
Foundations.6for2,s,0.21
Foundations.Retracts,s,0.2
Core.Images,s,0.2
Synthetic.Categories.NaturalTransformations,s,0.2
Core.Slices,s,0.2
Foundations.IsEquivIsProp,s,0.2
Synthetic.Categories.Initial,s,0.2
Foundations.CanonicalEqualisers,s,0.19
Modalities.Cohesion.Continuity,s,0.19
Synthetic.Categories.AlgebraicLaws,s,0.19
Core.Coslices,s,0.19
Modalities.Cohesion.FlatLex,s,0.18
Foundations.IdentitySystems,s,0.18
Algebra.Lattice.Instances.Free.Inductive,s,0.18
Foundations.SigmaIdentity,s,0.17
Foundations.Pullbacks,s,0.17
Foundations.DependentCocones,s,0.17
Modalities.Cohesion.Flat,s,0.16
Core.LiftingSquares,s,0.16
Foundations.Identity,s,0.16
Modalities.Cohesion.Connectivity,s,0.15
Axioms.UF,s,0.15
Foundations.PathSplit,s,0.15
Foundations.3for2,s,0.15
Modalities.Cohesion.LiftingSquares,s,0.14
Ergonomics.Representation,s,0.14
Foundations.TypeFamilies,s,0.13
Foundations.Cotowers,s,0.13
Foundations.DependentIdentity,s,0.12
Core.GlobalClassesMaps,s,0.12
Core.PushoutSumsFamilies,s,0.12
Foundations.CompositionFibres,s,0.12
Everything,s,0.12
Core.Postwhisker,s,0.12
Modalities.ConnectedTypes,s,0.12
Modalities.Instances.Open,s,0.11
Core.Suspensions,s,0.11
Foundations.Towers,s,0.11
Core.ExtPullbacks,s,0.1
Foundations.BiinvertibleMaps,s,0.1
Foundations.HomotopyEquiv,s,0.1
Foundations.Spans,s,0.09
Foundations.PropExt,s,0.09
Foundations.Straightening,s,0.09
Ergonomics.TCM,s,0.09
Foundations.ExtensionsMaps,s,0.09
Core.PiSection,s,0.08
Core.PullbackPowersFamilies,s,0.08
Foundations.FibreIdentity,s,0.08
Algebra.Lattice.Instances.Bool,s,0.08
Core.Surjections,s,0.07
Foundations.FunExtFromUnivalence,s,0.07
Ergonomics.Universal,s,0.07
Ergonomics.Marker,s,0.07
Algebra.Lattice.Instances.Pointwise,s,0.07
Foundations.UnitUP,s,0.07
Foundations.Univalence,s,0.07
Foundations.QuasiEquivalences,s,0.07
Synthetic.Categories.Adjoints,s,0.06
Foundations.FunctionInverses,s,0.06
Foundations.IdentityEquiv,s,0.06
Foundations.FibrewiseEquivalences,s,0.06
Foundations.Subtypes,s,0.06
Foundations.SingletonFibres,s,0.06
Modalities.GlobalSubuniverses,s,0.05
Foundations.TheoremOfChoice,s,0.05
Foundations.SingletonClosure,s,0.05
Modalities.Factorisation,s,0.05
Foundations.Currying,s,0.05
Synthetic.Cubes,s,0.05
Ergonomics.Term,s,0.05
Foundations.Coproducts,s,0.04
Foundations.Nat,s,0.04
Foundations.Singletons,s,0.04
Foundations.Sigma,s,0.04
Modalities.ModalMaps,s,0.04
Foundations.SubtypeEquiv,s,0.04
Foundations.DependentHomotopy,s,0.03
Foundations.EquivHomotopy,s,0.03
Foundations.EquivSingleton,s,0.03
Algebra.Poset,s,0.03
Foundations.EmptyUP,s,0.03
Foundations.PropMapEmbedding,s,0.03
Foundations.SingletonProp,s,0.03
Foundations.Pointed,s,0.03
Foundations.Prelude,s,0.03
Core.Spheres,s,0.03
Foundations.Pushouts,s,0.03
Foundations.Epifunctions,s,0.02
Foundations.PropClosure,s,0.02
Foundations.List,s,0.02
Foundations.NatIdentity,s,0.02
Ergonomics.Literal,s,0.02
Ergonomics.Fixity,s,0.02
Ergonomics.Notations.Orthogonality,s,0.02
Ergonomics.Meta,s,0.02
Foundations.TruncationLevels,s,0.02
Ergonomics.Name,s,0.02
Foundations.UniverseLifts,s,0.02
Foundations.IdentityReasoning,s,0.02
Ergonomics.Auto,s,0.02
Ergonomics.Literals,s,0.02
Foundations.SequentialColimits,s,0.02
Foundations.Forks,s,0.01
Foundations.EquivOfSingleton,s,0.01
Foundations.Bool,s,0.01
Foundations.Maybe,s,0.01
Agda.Primitive.Cubical,s,0.01
